RespId,weight,Q29_1,voter_category
476549,0.2298,NA,sporadic
472963,0.2387,NA,always
470662,0.2424,NA,always
486527,0.2552,-1,sporadic
476298,0.258,NA,sporadic
474721,0.2637,-1,always
474391,0.2677,-1,sporadic
486012,0.2711,NA,sporadic
470930,0.2715,NA,always
477147,0.2717,NA,sporadic
472779,0.2764,NA,sporadic
470548,0.2789,NA,sporadic
484096,0.2826,NA,always
473554,0.2827,NA,always
473856,0.2831,NA,always
472533,0.2836,NA,sporadic
474039,0.2838,NA,sporadic
475225,0.2858,NA,always
482198,0.2858,NA,always
473106,0.2867,-1,rarely/never
471889,0.2878,-1,sporadic
476353,0.288,NA,always
470730,0.2902,NA,sporadic
473282,0.2906,NA,always
473312,0.2953,NA,sporadic
476853,0.2953,NA,sporadic
482038,0.2953,NA,sporadic
471850,0.2954,NA,sporadic
470370,0.296,NA,rarely/never
470660,0.2974,NA,always
473168,0.2974,NA,sporadic
475119,0.2974,NA,always
476162,0.3009,NA,always
476170,0.3009,NA,sporadic
471193,0.3032,NA,always
472008,0.3032,NA,always
470720,0.3058,NA,always
476611,0.3058,NA,sporadic
472862,0.3083,-1,rarely/never
476765,0.3083,-1,always
470094,0.3085,NA,always
470560,0.3085,NA,always
470691,0.3085,NA,always
471963,0.3085,NA,sporadic
472193,0.3085,NA,sporadic
472711,0.3085,NA,always
473485,0.3085,NA,sporadic
474647,0.3085,NA,always
486331,0.3107,NA,sporadic
472621,0.3117,NA,always
473455,0.3129,-1,sporadic
475519,0.3133,NA,sporadic
472505,0.3166,NA,always
472789,0.3166,NA,always
475147,0.3198,-1,always
471269,0.3211,NA,always
475536,0.3211,NA,sporadic
486643,0.3213,NA,always
470741,0.3215,NA,always
475133,0.3215,NA,sporadic
484959,0.3232,NA,always
472406,0.325,NA,sporadic
472834,0.3257,NA,always
475377,0.3257,-1,sporadic
477475,0.3271,NA,rarely/never
470188,0.3296,NA,always
470576,0.3296,NA,rarely/never
471608,0.3296,NA,always
472719,0.3296,NA,sporadic
474837,0.3299,NA,sporadic
477240,0.3316,NA,sporadic
473679,0.3323,NA,sporadic
477000,0.3344,NA,sporadic
471131,0.3351,NA,sporadic
470031,0.3353,NA,sporadic
470652,0.3353,NA,sporadic
471116,0.3353,NA,always
472485,0.3353,NA,sporadic
474222,0.3353,NA,sporadic
475116,0.3353,NA,always
476375,0.3353,NA,always
476908,0.3353,NA,rarely/never
484978,0.3353,NA,always
473982,0.336,-1,sporadic
474548,0.3378,NA,always
476021,0.3378,NA,always
481524,0.3378,NA,sporadic
474225,0.3402,-1,sporadic
475364,0.3417,-1,sporadic
488206,0.3473,1,sporadic
474424,0.3478,NA,sporadic
471527,0.3487,NA,sporadic
474958,0.3487,NA,sporadic
477382,0.3497,NA,sporadic
475306,0.3498,NA,rarely/never
486874,0.3506,NA,sporadic
473274,0.3521,NA,always
476584,0.3521,NA,always
475207,0.3525,NA,sporadic
