REGION,COUNTY,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
Outside NYC,Albany ,Active,"94,921","34,217","3,018",575,487,262,"9,266",8,163,"42,183","185,100"
Outside NYC,Albany ,Inactive,"12,305","3,677",322,127,121,52,"1,310",0,28,"6,322","24,264"
Outside NYC,Albany ,Total,"107,226","37,894","3,340",702,608,314,"10,576",8,191,"48,505","209,364"
Outside NYC,Allegany ,Active,"5,615","12,564",444,136,89,52,"1,232",0,12,"4,887","25,031"
Outside NYC,Allegany ,Inactive,346,512,22,6,9,1,72,0,3,388,"1,359"
Outside NYC,Allegany ,Total,"5,961","13,076",466,142,98,53,"1,304",0,15,"5,275","26,390"
Outside NYC,Broome ,Active,"44,335","41,318","1,593",628,347,275,"6,038",4,95,"23,535","118,168"
Outside NYC,Broome ,Inactive,"5,694","3,895",157,129,73,26,865,0,23,"4,051","14,913"
Outside NYC,Broome ,Total,"50,029","45,213","1,750",757,420,301,"6,903",4,118,"27,586","133,081"
Outside NYC,Cattaraugus ,Active,"13,644","17,915","1,093",237,125,93,"2,320",1,33,"9,342","44,803"
Outside NYC,Cattaraugus ,Inactive,912,"1,022",74,24,12,1,143,0,5,815,"3,008"
Outside NYC,Cattaraugus ,Total,"14,556","18,937","1,167",261,137,94,"2,463",1,38,"10,157","47,811"
Outside NYC,Cayuga ,Active,"14,799","16,740","1,266",210,163,77,"2,472",1,23,"10,153","45,904"
Outside NYC,Cayuga ,Inactive,819,801,57,20,12,1,199,0,6,825,"2,740"
Outside NYC,Cayuga ,Total,"15,618","17,541","1,323",230,175,78,"2,671",1,29,"10,978","48,644"
Outside NYC,Chautauqua ,Active,"24,750","26,351","1,919",443,159,193,"4,607",0,67,"18,405","76,894"
Outside NYC,Chautauqua ,Inactive,"1,689","1,337",108,31,29,12,345,0,9,"1,616","5,176"
Outside NYC,Chautauqua ,Total,"26,439","27,688","2,027",474,188,205,"4,952",0,76,"20,021","82,070"
Outside NYC,Chemung ,Active,"15,159","20,203",821,238,120,135,"2,977",0,35,"10,380","50,068"
Outside NYC,Chemung ,Inactive,"1,275","1,216",38,25,19,3,263,0,7,"1,049","3,895"
Outside NYC,Chemung ,Total,"16,434","21,419",859,263,139,138,"3,240",0,42,"11,429","53,963"
Outside NYC,Chenango ,Active,"7,043","12,464",500,155,97,77,"1,592",0,11,"6,378","28,317"
Outside NYC,Chenango ,Inactive,477,659,39,15,17,2,124,0,4,558,"1,895"
Outside NYC,Chenango ,Total,"7,520","13,123",539,170,114,79,"1,716",0,15,"6,936","30,212"
Outside NYC,Clinton ,Active,"17,232","14,380",497,235,104,37,"3,256",3,20,"10,835","46,599"
Outside NYC,Clinton ,Inactive,"1,139",767,35,15,14,1,229,0,5,924,"3,129"
Outside NYC,Clinton ,Total,"18,371","15,147",532,250,118,38,"3,485",3,25,"11,759","49,728"
Outside NYC,Columbia ,Active,"17,417","12,278","1,086",230,173,68,"2,776",1,29,"11,421","45,479"
Outside NYC,Columbia ,Inactive,727,410,28,12,5,2,168,0,0,536,"1,888"
Outside NYC,Columbia ,Total,"18,144","12,688","1,114",242,178,70,"2,944",1,29,"11,957","47,367"
Outside NYC,Cortland ,Active,"9,094","9,852",466,119,86,67,"1,528",0,11,"6,581","27,804"
Outside NYC,Cortland ,Inactive,918,822,35,18,19,0,172,0,4,"1,028","3,016"
Outside NYC,Cortland ,Total,"10,012","10,674",501,137,105,67,"1,700",0,15,"7,609","30,820"
Outside NYC,Delaware ,Active,"7,748","11,687",485,105,95,52,"1,549",0,7,"5,504","27,232"
Outside NYC,Delaware ,Inactive,789,936,47,20,15,3,206,0,3,780,"2,799"
Outside NYC,Delaware ,Total,"8,537","12,623",532,125,110,55,"1,755",0,10,"6,284","30,031"
Outside NYC,Dutchess ,Active,"67,832","52,219","3,621",700,449,292,"10,231",6,131,"48,232","183,713"
Outside NYC,Dutchess ,Inactive,"5,815","3,492",237,88,61,20,839,0,17,"4,131","14,700"
Outside NYC,Dutchess ,Total,"73,647","55,711","3,858",788,510,312,"11,070",6,148,"52,363","198,413"
Outside NYC,Erie ,Active,"285,963","151,118","13,517","2,795","1,637","1,009","28,449",0,376,"115,135","599,999"
Outside NYC,Erie ,Inactive,"17,301","7,102",554,184,147,54,"1,610",0,40,"8,393","35,385"
Outside NYC,Erie ,Total,"303,264","158,220","14,071","2,979","1,784","1,063","30,059",0,416,"123,528","635,384"
Outside NYC,Essex ,Active,"7,236","10,553",236,62,81,34,"1,784",1,7,"4,693","24,687"
Outside NYC,Essex ,Inactive,469,533,12,4,9,3,116,0,1,393,"1,540"
