REGION,COUNTY,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
Outside NYC,Albany ,Active,"99,630","35,571","3,109",608,518,419,"9,363",13,144,"46,856","196,231"
Outside NYC,Albany ,Inactive,"10,445","3,329",287,117,104,47,"1,117",0,19,"5,449","20,914"
Outside NYC,Albany ,Total,"110,075","38,900","3,396",725,622,466,"10,480",13,163,"52,305","217,145"
Outside NYC,Allegany ,Active,"5,681","13,238",448,127,88,72,"1,243",1,11,"5,288","26,197"
Outside NYC,Allegany ,Inactive,333,517,24,8,8,6,76,0,3,391,"1,366"
Outside NYC,Allegany ,Total,"6,014","13,755",472,135,96,78,"1,319",1,14,"5,679","27,563"
Outside NYC,Broome ,Active,"46,537","43,201","1,673",629,356,399,"6,185",8,89,"26,048","125,125"
Outside NYC,Broome ,Inactive,"5,099","3,549",140,117,67,20,803,0,21,"3,719","13,535"
Outside NYC,Broome ,Total,"51,636","46,750","1,813",746,423,419,"6,988",8,110,"29,767","138,660"
Outside NYC,Cattaraugus ,Active,"13,799","18,915","1,119",224,122,134,"2,327",3,26,"10,067","46,736"
Outside NYC,Cattaraugus ,Inactive,835,990,68,25,14,5,143,0,6,840,"2,926"
Outside NYC,Cattaraugus ,Total,"14,634","19,905","1,187",249,136,139,"2,470",3,32,"10,907","49,662"
Outside NYC,Cayuga ,Active,"15,257","17,433","1,276",209,167,126,"2,525",3,21,"11,093","48,110"
Outside NYC,Cayuga ,Inactive,719,787,53,21,11,1,180,0,5,733,"2,510"
Outside NYC,Cayuga ,Total,"15,976","18,220","1,329",230,178,127,"2,705",3,26,"11,826","50,620"
Outside NYC,Chautauqua ,Active,"25,038","27,595","1,964",441,162,251,"4,614",1,63,"19,663","79,792"
Outside NYC,Chautauqua ,Inactive,"1,652","1,430",109,33,25,21,333,0,8,"1,596","5,207"
Outside NYC,Chautauqua ,Total,"26,690","29,025","2,073",474,187,272,"4,947",1,71,"21,259","84,999"
Outside NYC,Chemung ,Active,"15,523","21,207",832,232,118,203,"2,996",2,32,"11,276","52,421"
Outside NYC,Chemung ,Inactive,"1,318","1,227",44,25,15,2,264,1,6,942,"3,844"
Outside NYC,Chemung ,Total,"16,841","22,434",876,257,133,205,"3,260",3,38,"12,218","56,265"
Outside NYC,Chenango ,Active,"7,322","13,218",511,155,95,118,"1,626",1,10,"6,853","29,909"
Outside NYC,Chenango ,Inactive,400,569,31,14,15,1,96,0,4,492,"1,622"
Outside NYC,Chenango ,Total,"7,722","13,787",542,169,110,119,"1,722",1,14,"7,345","31,531"
Outside NYC,Clinton ,Active,"17,752","15,017",519,239,102,64,"3,274",4,19,"11,737","48,727"
Outside NYC,Clinton ,Inactive,994,697,36,11,13,1,209,0,5,862,"2,828"
Outside NYC,Clinton ,Total,"18,746","15,714",555,250,115,65,"3,483",4,24,"12,599","51,555"
Outside NYC,Columbia ,Active,"18,690","12,677","1,100",228,169,99,"2,806",1,29,"12,071","47,870"
Outside NYC,Columbia ,Inactive,674,378,26,10,5,1,153,0,0,492,"1,739"
Outside NYC,Columbia ,Total,"19,364","13,055","1,126",238,174,100,"2,959",1,29,"12,563","49,609"
Outside NYC,Cortland ,Active,"9,158","10,355",469,113,89,104,"1,543",0,12,"6,906","28,749"
Outside NYC,Cortland ,Inactive,633,596,29,16,14,0,123,0,3,736,"2,150"
Outside NYC,Cortland ,Total,"9,791","10,951",498,129,103,104,"1,666",0,15,"7,642","30,899"
Outside NYC,Delaware ,Active,"8,345","12,417",494,109,103,78,"1,575",1,5,"6,127","29,254"
Outside NYC,Delaware ,Inactive,700,833,39,17,12,2,174,0,3,698,"2,478"
Outside NYC,Delaware ,Total,"9,045","13,250",533,126,115,80,"1,749",1,8,"6,825","31,732"
Outside NYC,Dutchess ,Active,"72,293","54,427","3,746",723,459,411,"10,263",10,108,"52,442","194,882"
Outside NYC,Dutchess ,Inactive,"6,239","3,666",238,80,66,18,873,0,19,"4,259","15,458"
Outside NYC,Dutchess ,Total,"78,532","58,093","3,984",803,525,429,"11,136",10,127,"56,701","210,340"
Outside NYC,Erie ,Active,"296,124","157,710","13,685","2,779","1,700","1,499","28,712",44,337,"127,086","629,676"
Outside NYC,Erie ,Inactive,"14,780","6,337",496,162,122,47,"1,417",0,32,"7,362","30,755"
Outside NYC,Erie ,Total,"310,904","164,047","14,181","2,941","1,822","1,546","30,129",44,369,"134,448","660,431"
Outside NYC,Essex ,Active,"7,707","10,792",243,57,84,52,"1,782",0,6,"5,114","25,837"
Outside NYC,Essex ,Inactive,552,624,21,8,9,5,139,0,2,452,"1,812"
Outside NYC,Essex ,Total,"8,259","11,416",264,65,93,57,"1,921",0,8,"5,566","27,649"
Outside NYC,Franklin ,Active,"10,119","8,978",347,96,76,53,"1,590",1,6,"5,535","26,801"
Outside NYC,Franklin ,Inactive,757,606,19,14,19,1,182,0,0,663,"2,261"
Outside NYC,Franklin ,Total,"10,876","9,584",366,110,95,54,"1,772",1,6,"6,198","29,062"
Outside NYC,Fulton ,Active,"7,473","15,974",624,152,76,100,"1,729",1,16,"6,593","32,738"
Outside NYC,Fulton ,Inactive,738,"1,000",44,18,13,4,169,0,2,783,"2,771"
Outside NYC,Fulton ,Total,"8,211","16,974",668,170,89,104,"1,898",1,18,"7,376","35,509"
Outside NYC,Genesee ,Active,"8,997","16,855",991,160,105,189,"1,880",1,24,"8,901","38,103"
Outside NYC,Genesee ,Inactive,594,897,59,19,14,10,143,0,1,729,"2,466"
Outside NYC,Genesee ,Total,"9,591","17,752","1,050",179,119,199,"2,023",1,25,"9,630","40,569"
Outside NYC,Greene ,Active,"8,830","12,262",823,126,129,76,"1,834",1,13,"8,278","32,372"
Outside NYC,Greene ,Inactive,927,"1,125",79,24,54,2,255,0,0,"1,070","3,536"
Outside NYC,Greene ,Total,"9,757","13,387",902,150,183,78,"2,089",1,13,"9,348","35,908"
Outside NYC,Hamilton ,Active,902,"2,507",66,4,4,9,213,0,0,616,"4,321"
